Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-303.712;-1896.09;-92.9916;
0;-303.73;-1896.51;-93.0519;
0;-303.748;-1896.92;-93.0984;
0;-303.767;-1897.34;-93.1265;
0;-303.785;-1897.76;-93.1417;
0;-303.804;-1898.18;-93.1458;
0;-303.823;-1898.59;-93.1363;
0;-303.843;-1899.01;-93.11;
0;-303.862;-1899.43;-93.0718;
0;-303.881;-1899.85;-93.0235;
0;-303.901;-1900.28;-92.964;
0;-303.92;-1900.7;-92.8918;
0;-303.939;-1901.12;-92.8111;
0;-303.959;-1901.54;-92.7238;
0;-303.978;-1901.97;-92.6299;
0;-303.997;-1902.39;-92.5292;
0;-304.016;-1902.82;-92.4241;
0;-304.034;-1903.24;-92.3159;
0;-304.052;-1903.67;-92.205;
0;-304.07;-1904.1;-92.0919;
0;-304.088;-1904.52;-91.9776;
0;-304.105;-1904.95;-91.8628;
0;-304.122;-1905.38;-91.7474;
0;-304.138;-1905.81;-91.6316;
0;-304.154;-1906.24;-91.5161;
0;-304.169;-1906.67;-91.4014;
0;-304.184;-1907.1;-91.2878;
0;-304.199;-1907.54;-91.1759;
0;-304.213;-1907.97;-91.0659;
0;-304.226;-1908.4;-90.9582;
0;-304.239;-1908.83;-90.8533;
0;-304.251;-1909.27;-90.7519;
0;-304.263;-1909.7;-90.6538;
0;-304.274;-1910.14;-90.5591;
0;-304.285;-1910.58;-90.4679;
0;-304.295;-1911.01;-90.3808;
0;-304.305;-1911.45;-90.2971;
0;-304.314;-1911.89;-90.2169;
0;-304.322;-1912.33;-90.14;
0;-304.33;-1912.77;-90.0669;
0;-304.337;-1913.21;-89.9971;
0;-304.344;-1913.65;-89.9303;
0;-304.35;-1914.09;-89.8667;
0;-304.356;-1914.53;-89.8065;
0;-304.361;-1914.97;-89.7493;
0;-304.366;-1915.41;-89.6949;
0;-304.37;-1915.86;-89.6433;
0;-304.373;-1916.3;-89.5949;
0;-304.377;-1916.75;-89.549;
0;-304.379;-1917.19;-89.5057;
0;-304.381;-1917.64;-89.4648;
0;-304.383;-1918.08;-89.4267;
0;-304.385;-1918.53;-89.3908;
