Time;CoG position/X;CoG position/Y;CoG position/Yaw;
s;m;m;°;
0;-299.901;-1902.86;-89.0138;
0;-299.897;-1903.08;-89.0138;
0;-299.893;-1903.3;-89.0139;
0;-299.889;-1903.53;-89.014;
0;-299.886;-1903.75;-89.014;
0;-299.882;-1903.97;-89.0141;
0;-299.878;-1904.2;-89.0142;
0;-299.874;-1904.42;-89.0142;
0;-299.87;-1904.64;-89.0143;
0;-299.866;-1904.86;-89.0144;
0;-299.863;-1905.08;-89.0144;
0;-299.859;-1905.31;-89.0145;
0;-299.855;-1905.53;-89.0146;
0;-299.851;-1905.75;-89.0146;
0;-299.847;-1905.97;-89.0147;
0;-299.844;-1906.19;-89.0148;
0;-299.84;-1906.41;-89.0148;
0;-299.836;-1906.63;-89.0149;
0;-299.832;-1906.85;-89.015;
0;-299.828;-1907.07;-89.0151;
0;-299.825;-1907.29;-89.0151;
0;-299.821;-1907.51;-89.0152;
0;-299.817;-1907.73;-89.0153;
0;-299.813;-1907.95;-89.0153;
0;-299.81;-1908.17;-89.0154;
0;-299.806;-1908.39;-89.0155;
0;-299.802;-1908.61;-89.0155;
0;-299.798;-1908.83;-89.0156;
0;-299.795;-1909.04;-89.0157;
0;-299.791;-1909.26;-89.0157;
0;-299.787;-1909.48;-89.0158;
0;-299.783;-1909.7;-89.0159;
0;-299.78;-1909.91;-89.0159;
0;-299.776;-1910.13;-89.016;
0;-299.772;-1910.35;-89.0161;
0;-299.768;-1910.57;-89.0161;
0;-299.765;-1910.78;-89.0162;
0;-299.761;-1911;-89.0163;
0;-299.757;-1911.22;-89.0163;
0;-299.754;-1911.43;-89.0164;
0;-299.75;-1911.65;-89.0165;
0;-299.746;-1911.86;-89.0165;
0;-299.742;-1912.08;-89.0166;
0;-299.739;-1912.29;-89.0167;
